Account,date,sentiment_bucket,classification,daily_pnl,n_trades,n_wins,avg_trade_size_usd,total_volume_usd,n_long,win_rate,n_short,long_short_ratio,is_profitable_day
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-09,Neutral,Neutral,396.06272,14,3,15742.852142857142,220399.93,14,0.21428571428571427,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-10,Fear,Fear,0.0,16,0,18751.521249999998,300024.33999999997,16,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-11,Fear,Fear,8885.327477,25,18,19556.1384,488903.45999999996,18,0.72,7,2.5714285714285716,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-12,Neutral,Neutral,541.55471,10,7,15971.34,159713.4,2,0.7,8,0.25,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-13,Neutral,Neutral,0.0,10,0,6000.242,60002.42,10,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-14,Neutral,Neutral,1913.61958,5,5,12383.204000000002,61916.020000000004,5,1.0,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-15,Greed,Greed,1170.2260760000001,7,4,11596.194285714286,81173.36,7,0.5714285714285714,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-16,Greed,Greed,219.480876,11,3,7293.560909090909,80229.17,11,0.2727272727272727,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-17,Greed,Greed,36.11496,8,1,17504.00375,140032.03,8,0.125,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-18,Greed,Greed,333.219141,6,5,20055.238333333335,120331.43000000001,6,0.8333333333333334,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-19,Greed,Greed,0.0,4,0,24999.215,99996.86,4,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-20,Greed,Greed,229.060526,6,5,20037.618333333336,120225.71,6,0.8333333333333334,0,,True
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-21,Greed,Greed,0.0,11,0,13638.561818181817,150024.18,11,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-22,Greed,Greed,0.0,3,0,20000.12,60000.36,3,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-23,Greed,Greed,-46.489941,18,0,11667.003888888888,210006.07,18,0.0,0,,False
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-25,Greed,Greed,4543.862071,25,16,16183.4872,404587.18,25,0.64,0,,True
